"ID","西暦","年号","年","月","発生時間","災害状況","業種（大分類）コード","業種（大分類）分類名","業種（中分類）コード","業種（中分類）分類名","業種（小分類）コード","業種（小分類）分類名","事業場規模","起因物（大分類）コード","起因物（大分類）分類名","起因物（中分類）コード","起因物（中分類）分類名","起因物（小分類）コード","起因物（小分類）分類名","事故の型コード","事故の型分類名"
"226","1995","平成","7","2","14~15","擁壁下部になる部分を床堀中、地下より蒸気が噴出して土砂が大量に吹き上げ、土砂崩れが起きた。","3","建設業","301","土木工事業","","","300~499","7","環境等","71","環境等","","","11","高温・低温の物との接触"
"227","1995","平成","7","2","14~15","擁壁下部になる部分を床堀中、地下より蒸気が噴出して土砂が大量に吹き上げ、土砂崩れが起きた。","3","建設業","301","土木工事業","","","300~499","7","環境等","71","環境等","","","11","高温・低温の物との接触"
"228","1995","平成","7","2","14~15","擁壁下部になる部分を床堀中、地下より蒸気が噴出して土砂が大量に吹き上げ、土砂崩れが起きた。","3","建設業","301","土木工事業","","","1~9","7","環境等","71","環境等","","","11","高温・低温の物との接触"
"229","1995","平成","7","2","15~16","製紙工場内のコンベヤー上で番線の片付け作業中、2段積みの古紙が崩壊してきた。","1","製造業","106","パルプ・紙・紙加工品製造業","","","30~49","6","荷","61","荷","","","5","崩壊、倒壊"
"230","1995","平成","7","2","16~17","地下3階の廃液タンク内に入ったところ、アルゴンガスが底部に滞留しており、酸欠になった。","3","建設業","303","その他の建設業","","","30~49","7","環境等","71","環境等","","","12","有害物等との接触"
"231","1995","平成","7","2","19~20","トラック荷台から塩ビ管(長さ4m)を降ろしていたところ、塩ビ管で足を滑らし、荷台から転落した。","3","建設業","302","建築工事業","","","10~29","5","物質、材料","52","材料","","","1","墜落、転落"
"232","1995","平成","7","2","10~11","駐車場で配送準備中、トラックの運転席とドアの間にいたところ、急にトラックが動き出したためドアが隣の車両に押され、ドアと運転席の間に挟まれた。","8","商業","","","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","7","はさまれ、巻き込まれ"
"233","1995","平成","7","2","7~8","浮桟橋をプライマー塗装するための準備作業として、雨で濡れていた桟橋をアセチレン溶断用ガスバーナーで乾燥させていたところ、桟橋内部に滞留していた有機溶剤が爆発した。","1","製造業","115","輸送用機械等製造業","","","1~9","5","物質、材料","51","危険物、有害物等","","","14","爆発"
"234","1995","平成","7","2","7~8","浮桟橋をプライマー塗装するための準備作業として、雨で濡れていた桟橋をアセチレン溶断用ガスバーナーで乾燥させていたところ、桟橋内部に滞留していた有機溶剤が爆発した。","1","製造業","115","輸送用機械等製造業","","","1~9","5","物質、材料","51","危険物、有害物等","","","14","爆発"
"235","1995","平成","7","2","7~8","乗用車で打合せ場所に向かう途中、轍にハンドルを取られて反対車線にはみ出し、対向車と衝突した。","17","その他の事業","","","","","100~299","2","物上げ装置、運搬機械","23","乗物","","","17","交通事故（道路）"
"236","1995","平成","7","2","9~10","病院の駐車場を歩行中、後進してきた軽自動車と接触した。","13","保健・衛生業","","","","","100~299","2","物上げ装置、運搬機械","23","乗物","","","6","激突され"
"237","1995","平成","7","2","10~11","捨石を取りに行くためタグボートで台船を移動中、約500m沖でタグボートがバランスを崩し、転覆した。","3","建設業","301","土木工事業","","","10~29","2","物上げ装置、運搬機械","23","乗物","","","10","おぼれ"
"238","1995","平成","7","2","11~12","10tトラックで林道を走行中、杉林に転落した。","3","建設業","301","土木工事業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"239","1995","平成","7","2","13~14","屋根にコンパネを敷いていたところ、足を滑らせ4.8m下の地面に墜落した。","3","建設業","302","建築工事業","","","1~9","4","仮設物、建築物、構築物等","41","仮設物、建築物、構築物等","","","1","墜落、転落"
"240","1995","平成","7","2","14~15","フォークリフトに半端材を積み、傾斜(勾配5度)した道路を走行中、フォークリフトが転倒した。","3","建設業","302","建築工事業","","","1~9","2","物上げ装置、運搬機械","22","動力運搬機","","","2","転倒"
"241","1995","平成","7","2","15~16","パワー・ショベルで道路谷側へ降りる仮設道の傾斜面を下っていたところ、6m下に転落した。","3","建設業","301","土木工事業","","","50~99","1","動力機械","14","建設機械等","","","1","墜落、転落"
"242","1995","平成","7","2","16~17","道路舗装工事現場で作業中、床盤を転圧していたロードローラーに轢かれた。","3","建設業","301","土木工事業","","","10~29","1","動力機械","14","建設機械等","","","7","はさまれ、巻き込まれ"
"243","1995","平成","7","2","16~17","トラックで原石を運搬中、交差点を一時停止せずに直進したところ、右側から来たトラックと衝突した。","2","鉱業","202","土石採取業","","","10~29","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"244","1995","平成","7","2","1~2","トラックで高速道路を走行中、退避所の外壁に激突した。","3","建設業","303","その他の建設業","","","50~99","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
"245","1995","平成","7","2","2~3","大型トラックで走行中、県道交差点で信号柱に衝突し、更に民家に突っ込んだ。","4","運輸交通業","403","道路貨物運送業","","","30~49","2","物上げ装置、運搬機械","22","動力運搬機","","","17","交通事故（道路）"
