通し番号,ファイル名,カテゴリ,事故種類,出所URL,md5,説明
0031,0031.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0187.html,ddc4bd3fbf9cb956855b454600858af6,アウトリガーのジャッキを縮めたところ、トラッククレーンが坂道を下り始めた
0032,0032.gif,TGL,飛来・落下,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0195.html,7fa3fe585653e6f517247e4e0e1ada0a,鋼製矢板の荷降ろし作業中、矢板が反転して崩れた
0033,0033.jpg,TGL,激突され,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0219.html,c9eb4123f16cedbdc94d4d916727b240,トラッククレーンでつり上げて回したフレコンバッグが頭部に当たった
0034,0034.gif,TGL,動作の反動,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0338.html,8745aff3d57722ab1212d34f751dd663,米袋の荷降ろしを行っていた際、腰をひねり違和感を覚えた
0035,0035.gif,TGL,転倒,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0355.html,61d80d36f94a45f5c8c85e1ab81fa6a3,荷降ろし作業中、バランスを崩し荷台の上で転倒しそうになった
0036,0036.gif,TGL,転倒,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0358.html,a3de36b9088ef15a9bc90cc072cc0961,積み込み作業中、足元の空のパン箱（番重）に気づかず、つまずき転倒しそうになった
0037,0037.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0361.html,a9addaf14cc64e1f7b261938532e515a,積み荷の揺り返しによりフレコンバッグが当たり、荷台から転落しそうになった
0038,0038.gif,TGL,墜落・転落,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0365.html,a88834b1574d1a96e8f5a9dd057602b7,夜間、ごみ集積場へ向かっていた際、トラックバースへ転落しそうになった
0039,0039.gif,TGL,激突され,https://anzeninfo.mhlw.go.jp/hiyari/hiy_0419.html,eedc130594d5aa14f89e31b90d503e56,コンテナの奥で貨物を撮影していたところ、貨物が積み込まれて激突しそうになった
0040,0040.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/1135,e5ebc466108e3a61401ced240b34e46c,高所作業車のバケット手摺と天井クレーンレールの間に腰をはさまれた
0041,0041.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1212,2b3cf6aceae93d6ad6926e466c17faea,走行中のトラック接触の反動で作業者がバケットから転落した
0042,0042.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/1223,52afc1d639477acf0fb9f2a8cb9921fa,橋梁下を移動中、高架橋の梁と操作盤の間にはさまれた
0043,0043.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1227,31617e48db7d059205ffea22f50d9d23,梁上へ移動中に足を滑らせバケットから墜落した
0044,0044.jpg,高所,墜落・転落,https://www.sacl.or.jp/case/disaster/1231,a44589f4b9f26422d6857a68679c578b,作業床の手すりから上半身を出し過ぎて墜落した
0045,0045.jpg,高所,転倒,https://www.sacl.or.jp/case/disaster/1235,4ca4f8a80ab9cdcf7205653c66a8fb7d,アウトリガ格納で車体が塀側に傾き作業者が車体と塀の間に挟まれた
0046,0046.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/1239,bd63a6097f587fbc7a962830f15f96fa,作業床上昇中に操作盤フレームと天井の間に胸部をはさまれた
0047,0047.jpg,高所,はさまれ・巻き込まれ,https://www.sacl.or.jp/case/disaster/1243,d14c41a435286dd8e4711d8d07a4dc26,傾斜地で車両が逸走しガードレールとの間にはさまれた
